,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,
,PHARMA_Value,DEATH_Value,PHARMA_Value,DEATH_Value,PHARMA_Value,DEATH_Value,PHARMA_Value,DEATH_Value,PHARMA_Value,DEATH_Value,PHARMA_Value,DEATH_Value,PHARMA_Value,DEATH_Value,PHARMA_Value,DEATH_Value,PHARMA_Value,DEATH_Value,PHARMA_Value,DEATH_Value,PHARMA_Value,DEATH_Value
Australia,57.8,3946,59.6,4211,60.5,4241,57.5,4333,57.5,4357,57.5,4690,56.7,4783,57.1,4865,57.8,4656,57.5,4983,60,5148
Austria,45.4,3011,46.3,2902,45.9,2972,46,2872,46.4,3121,46.3,3463,46.9,3300,47.2,3158,46.3,3078,47.5,2656,49.4,2855
Belgium,60.5,1623,61.7,1588,63.2,1708,65,1614,66.3,1535,68,1506,70,1448,71,1528,72.8,1499,0,0,0,0
Canada,75.8,6942,78,7194,77.7,6993,55.4,7045,57,7071,57.6,7172,58.1,6838,58.1,6882,58.3,6794,79,6912,0,0
Chile,61.1,3684,62.2,3426,64.9,3713,65,3743,66.8,4185,67.5,4726,73.8,4829,36.8,4794,55.3,3207,59.6,3110,62.7,3665
Colombia,48,6859,50.4,6734,57,7154,61.4,7020,57.3,7134,59.6,7550,62.4,7253,66.7,7500,72.2,8049,78.8,7967,82.3,10198
Czechia,81.9,1945,84.3,2378,86.4,2247,104.9,3748,124.5,3500,154.7,3728,73.7,3766,76.2,3725,78.2,4280,80.2,4268,84.7,4993
Denmark,88.9,1248,89.4,1355,90.5,1314,92.4,1320,94.2,1293,97.5,1352,47.4,1414,49,1349,50.5,1358,51.2,1323,51.8,1253
Estonia,64.4,152,62.6,164,61.6,132,59.9,146,60,150,66.2,137,63.9,183,67.3,200,70.5,230,73.1,245,74.2,334
Finland,53,456,54.7,478,55.6,491,57,488,58.8,498,0,0,62,542,67,566,83.3,541,84.2,595,84.8,667
France,85.9,10725,88.1,10908,89.8,11223,92.3,11170,91.7,10823,95.8,11671,99.9,11285,101.8,11359,0,0,0,0,0,0
Germany,105.6,23131,72.9,23552,74.5,24055,80.2,24257,81.6,22643,81.3,24400,82.4,23059,84.5,24854,84,24856,84.8,23895,86.9,25807
Greece,85.6,1075,87.4,1152,81.4,1165,82.6,1400,83.2,1667,83.2,1780,83.6,1753,82.6,2122,83.8,2220,83.5,2385,85.9,2401
Hungary,88.3,2559,91,2782,93.6,2843,85,2584,83.3,2583,86.2,2771,80.7,2786,81.9,3097,83.7,3098,88.1,3072,0,0
Iceland,100.9,24,98.4,19,70.7,23,74.5,33,75.3,27,77.5,23,76.2,32,69.9,37,72.4,37,74.2,30,75.4,33
Ireland,79.2,487,76.4,466,75.3,536,31.7,573,38.1,482,38.9,518,0,0,0,0,41.9,534,0,0,0,0
Israel,78.6,2280,80.7,2190,82.6,2287,83.3,2314,85.1,2372,87.2,2524,91.6,2291,40.2,2341,41.5,2304,42.4,2450,43.8,2598
Italy,42.3,20620,44.9,21159,46.5,21536,47.2,20921,48,20183,48.7,22246,51.1,21354,54.8,22441,0,0,0,0,0,0
Japan,57.9,14422,61.6,14664,62,14486,62.4,13812,61.8,13669,62,13327,62.2,13480,62.5,13969,63,14181,64,13846,64.8,13902
Korea,65.1,10349,67.2,10775,65.5,11557,64.1,10888,64.3,10526,65.4,10558,60.8,9807,61.7,9184,60.3,8789,63.1,8102,65.2,8456
Luxembourg,67.8,69,72.7,55,78.5,58,63.8,77,64,94,63.4,83,64,61,64.6,82,65.2,60,64.9,83,64.2,74
Mexico,65.1,81380,64.5,79224,63.8,83416,60,85311,72.3,91980,72.9,96508,74.1,103493,75.1,104298,75,98835,75.8,101753,76.2,148626
Netherlands,77.2,3002,75.1,2756,76.9,2811,77.6,2899,78.5,2761,57,2830,57.2,2891,53,2781,54.9,2694,52.3,2725,48.3,2799
New Zealand,48.4,774,48.4,835,48.7,807,50.1,793,51.5,791,53,838,55.4,844,0,0,0,0,0,0,0,0
Norway,56.2,702,58.5,711,59.9,733,65.9,656,76.8,614,62.5,604,58.6,633,0,0,0,0,0,0,0,0
Poland,61,6512,62.7,6766,64.5,7129,67.2,7441,68.5,6786,67.9,8249,70.4,8295,74.2,8781,76.7,9017,78.6,9285,85,12160
Portugal,57.8,4748,61.3,4545,58,4875,65.6,4548,70.4,4275,75.2,4406,76.3,4359,76,4147,76.8,4305,78.6,3840,0,0
Slovak Republic,80.4,651,0,0,79.5,970,55.8,792,56,895,0,0,66.4,762,66.6,721,71.1,828,72.9,695,0,0
Slovenia,43.6,255,45.5,291,46.7,331,48.1,337,50.5,289,50,328,51.6,295,30.1,327,32.4,282,37,380,40.6,443
Spain,75.1,9799,76.4,9995,78.1,9987,79.6,9391,81.3,9625,84.7,10181,88.6,9310,51.9,9773,53,9921,53.9,9644,55.6,11297
Sweden,58.4,1936,60.4,1944,62.4,1963,64.9,1971,67.8,1880,70.1,2030,73.2,2046,80.5,2236,47.5,2156,0,0,0,0
Switzerland,53.4,1250,56.2,1206,58.4,1242,61.1,1315,64.2,1214,66.5,1316,72.6,1274,75.4,1255,79.1,1152,91.9,1160,96.3,1011
Türkiye,74.9,16249,77.8,16699,79.9,16299,82.3,16343,83.6,15554,84.7,15968,85.3,16588,0,0,0,0,84.5,14226,0,0
United Kingdom,72.1,6180,74.2,5823,74.3,5858,90,5857,34,6309,30.7,6559,45.8,6768,52.1,7286,59.3,7612,46.4,7817,39.8,8902
United States,47.9,69128,48,73831,73.7,73932,77.2,75578,79.7,76488,45.5,79535,47.5,80058,53.1,83564,54.6,84946,57.3,87647,59.4,102188
